Tract,heat_days,FIPS,GEOID,heat_bin,heat_label
6703.24,10.408334,6037670324,06037670324,1,less tha 25
6704.11,10.408334,6037670411,06037670411,1,less tha 25
6704.05,10.408334,6037670405,06037670405,1,less tha 25
6704.03,10.408334,6037670403,06037670403,1,less tha 25
7028.01,10.691667,6037702801,06037702801,1,less tha 25
2717.01,10.691667,6037271701,06037271701,1,less tha 25
2718.02,10.691667,6037271802,06037271802,1,less tha 25
2699.04,10.691667,6037269904,06037269904,1,less tha 25
2718.01,10.691667,6037271801,06037271801,1,less tha 25
2696.02,10.691667,6037269602,06037269602,1,less tha 25
2699.03,10.691667,6037269903,06037269903,1,less tha 25
2717.02,10.691667,6037271702,06037271702,1,less tha 25
2701,10.691667,6037270100,06037270100,1,less tha 25
2699.05,10.691667,6037269905,06037269905,1,less tha 25
2695,10.691667,6037269500,06037269500,1,less tha 25
2698,10.691667,6037269800,06037269800,1,less tha 25
2699.07,10.691667,6037269907,06037269907,1,less tha 25
2170.01,10.691667,6037217001,06037217001,1,less tha 25
2164.01,10.691667,6037216401,06037216401,1,less tha 25
2696.01,10.691667,6037269601,06037269601,1,less tha 25
2671,10.691667,6037267100,06037267100,1,less tha 25
2691,10.691667,6037269100,06037269100,1,less tha 25
2711,10.691667,6037271100,06037271100,1,less tha 25
2693,10.691667,6037269300,06037269300,1,less tha 25
2690,10.691667,6037269000,06037269000,1,less tha 25
2170.02,10.691667,6037217002,06037217002,1,less tha 25
2679.02,10.691667,6037267902,06037267902,1,less tha 25
2719.01,10.691667,6037271901,06037271901,1,less tha 25
7025.01,10.691667,6037702501,06037702501,1,less tha 25
2699.06,10.691667,6037269906,06037269906,1,less tha 25
2697,10.691667,6037269700,06037269700,1,less tha 25
7027,11.025,6037702700,06037702700,1,less tha 25
2723.02,11.025,6037272302,06037272302,1,less tha 25
7026,11.025,6037702600,06037702600,1,less tha 25
2751.02,11.025,6037275102,06037275102,1,less tha 25
7028.02,11.025,6037702802,06037702802,1,less tha 25
2723.01,11.025,6037272301,06037272301,1,less tha 25
6705,11.041667,6037670500,06037670500,1,less tha 25
6707.02,11.041667,6037670702,06037670702,1,less tha 25
2678,11.083333,6037267800,06037267800,1,less tha 25
2655.20,11.083333,6037265520,06037265520,1,less tha 25
2719.02,11.083333,6037271902,06037271902,1,less tha 25
2715,11.083333,6037271500,06037271500,1,less tha 25
2672,11.083333,6037267200,06037267200,1,less tha 25
2713,11.083333,6037271300,06037271300,1,less tha 25
2716,11.083333,6037271600,06037271600,1,less tha 25
2712,11.083333,6037271200,06037271200,1,less tha 25
2656.01,11.083333,6037265601,06037265601,1,less tha 25
7028.03,11.108334,6037702803,06037702803,1,less tha 25
2721,11.175,6037272100,06037272100,1,less tha 25
2722.01,11.375,6037272201,06037272201,1,less tha 25
2722.02,11.408334,6037272202,06037272202,1,less tha 25
6704.16,11.608334,6037670416,06037670416,1,less tha 25
2653.04,11.608334,6037265304,06037265304,1,less tha 25
2654.20,11.608334,6037265420,06037265420,1,less tha 25
2653.03,11.608334,6037265303,06037265303,1,less tha 25
2640,11.85,6037264000,06037264000,1,less tha 25
2641.02,11.85,6037264102,06037264102,1,less tha 25
2653.05,11.85,6037265305,06037265305,1,less tha 25
2623.02,11.85,6037262302,06037262302,1,less tha 25
2654.10,11.85,6037265410,06037265410,1,less tha 25
2623.03,11.85,6037262303,06037262303,1,less tha 25
6706.02,12.35,6037670602,06037670602,1,less tha 25
6028.02,12.716666,6037602802,06037602802,1,less tha 25
2912.10,12.716666,6037291210,06037291210,1,less tha 25
2911.20,12.716666,6037291120,06037291120,1,less tha 25
5409.02,12.716666,6037540902,06037540902,1,less tha 25
5411,12.716666,6037541100,06037541100,1,less tha 25
6031.01,12.716666,6037603101,06037603101,1,less tha 25
2413,12.716666,6037241300,06037241300,1,less tha 25
2911.10,12.716666,6037291110,06037291110,1,less tha 25
5409.01,12.716666,6037540901,06037540901,1,less tha 25
6030.04,12.716666,6037603004,06037603004,1,less tha 25
6030.06,12.716666,6037603006,06037603006,1,less tha 25
6028.01,12.716666,6037602801,06037602801,1,less tha 25
6030.05,12.716666,6037603005,06037603005,1,less tha 25
5430,12.716666,6037543000,06037543000,1,less tha 25
2414,12.716666,6037241400,06037241400,1,less tha 25
2410.01,12.716666,6037241001,06037241001,1,less tha 25
2410.02,12.716666,6037241002,06037241002,1,less tha 25
2911.30,12.716666,6037291130,06037291130,1,less tha 25
6030.01,12.716666,6037603001,06037603001,1,less tha 25
6034,12.783334,6037603400,06037603400,1,less tha 25
6027,12.783334,6037602700,06037602700,1,less tha 25
6033.01,12.783334,6037603301,06037603301,1,less tha 25
6026,12.783334,6037602600,06037602600,1,less tha 25
6029,12.783334,6037602900,06037602900,1,less tha 25
6506.02,12.9,6037650602,06037650602,1,less tha 25
6504.01,12.9,6037650401,06037650401,1,less tha 25
6501.02,12.9,6037650102,06037650102,1,less tha 25
6511.02,12.9,6037651102,06037651102,1,less tha 25
6206.02,12.9,6037620602,06037620602,1,less tha 25
6507.01,12.9,6037650701,06037650701,1,less tha 25
6512.21,12.9,6037651221,06037651221,1,less tha 25
6508,12.9,6037650800,06037650800,1,less tha 25
6506.05,12.9,6037650605,06037650605,1,less tha 25
6506.04,12.9,6037650604,06037650604,1,less tha 25
6206.01,12.9,6037620601,06037620601,1,less tha 25
6505.01,12.9,6037650501,06037650501,1,less tha 25
6512.01,12.9,6037651201,06037651201,1,less tha 25
6506.03,12.975,6037650603,06037650603,1,less tha 25
6507.02,12.975,6037650702,06037650702,1,less tha 25
6505.02,12.975,6037650502,06037650502,1,less tha 25
6207.01,12.975,6037620701,06037620701,1,less tha 25
6214,12.975,6037621400,06037621400,1,less tha 25
6213.01,12.975,6037621301,06037621301,1,less tha 25
6207.02,12.975,6037620702,06037620702,1,less tha 25
6511.01,13.125,6037651101,06037651101,1,less tha 25
6512.22,13.125,6037651222,06037651222,1,less tha 25
6510.02,13.125,6037651002,06037651002,1,less tha 25
6513.02,13.133333,6037651302,06037651302,1,less tha 25
7006,13.141666,6037700600,06037700600,1,less tha 25
7007,13.141666,6037700700,06037700700,1,less tha 25
2149.01,13.141666,6037214901,06037214901,1,less tha 25
7008.01,13.141666,6037700801,06037700801,1,less tha 25
1943,13.141666,6037194300,06037194300,1,less tha 25
7005.02,13.141666,6037700502,06037700502,1,less tha 25
7005.01,13.141666,6037700501,06037700501,1,less tha 25
2149.02,13.141666,6037214902,06037214902,1,less tha 25
6513.04,13.191667,6037651304,06037651304,1,less tha 25
6503,13.241667,6037650300,06037650300,1,less tha 25
6205.21,13.241667,6037620521,06037620521,1,less tha 25
6500.04,13.241667,6037650004,06037650004,1,less tha 25
6041,13.241667,6037604100,06037604100,1,less tha 25
6500.03,13.241667,6037650003,06037650003,1,less tha 25
6040.02,13.241667,6037604002,06037604002,1,less tha 25
6500.01,13.241667,6037650001,06037650001,1,less tha 25
6205.22,13.283334,6037620522,06037620522,1,less tha 25
2651,13.616667,6037265100,06037265100,1,less tha 25
7009.02,14.175,6037700902,06037700902,1,less tha 25
7010,14.175,6037701000,06037701000,1,less tha 25
2164.02,14.175,6037216402,06037216402,1,less tha 25
2657,14.175,6037265700,06037265700,1,less tha 25
2679.01,14.175,6037267901,06037267901,1,less tha 25
2656.02,14.333333,6037265602,06037265602,1,less tha 25
2652.01,14.558333,6037265201,06037265201,1,less tha 25
2652.02,14.65,6037265202,06037265202,1,less tha 25
5438.02,14.908334,6037543802,06037543802,1,less tha 25
5434,14.908334,6037543400,06037543400,1,less tha 25
5435.01,14.908334,6037543501,06037543501,1,less tha 25
5435.02,14.908334,6037543502,06037543502,1,less tha 25
2932.01,14.908334,6037293201,06037293201,1,less tha 25
5436.01,14.908334,6037543601,06037543601,1,less tha 25
6032,14.908334,6037603200,06037603200,1,less tha 25
5435.03,14.908334,6037543503,06037543503,1,less tha 25
5437.01,14.908334,6037543701,06037543701,1,less tha 25
2932.02,14.908334,6037293202,06037293202,1,less tha 25
2920,14.908334,6037292000,06037292000,1,less tha 25
5438.01,14.908334,6037543801,06037543801,1,less tha 25
2913,14.908334,6037291300,06037291300,1,less tha 25
6501.01,15.208333,6037650101,06037650101,1,less tha 25
6509.01,15.208333,6037650901,06037650901,1,less tha 25
6509.02,15.208333,6037650902,06037650902,1,less tha 25
6502,15.383333,6037650200,06037650200,1,less tha 25
6099,15.625,6037609900,06037609900,1,less tha 25
2969.02,15.625,6037296902,06037296902,1,less tha 25
2962.20,15.625,6037296220,06037296220,1,less tha 25
2966,15.625,6037296600,06037296600,1,less tha 25
2971.20,15.625,6037297120,06037297120,1,less tha 25
2972.01,15.625,6037297201,06037297201,1,less tha 25
2976.01,15.625,6037297601,06037297601,1,less tha 25
2972.02,15.625,6037297202,06037297202,1,less tha 25
2976.02,15.625,6037297602,06037297602,1,less tha 25
2971.10,15.625,6037297110,06037297110,1,less tha 25
2969.01,15.625,6037296901,06037296901,1,less tha 25
2970,15.641666,6037297000,06037297000,1,less tha 25
2974,15.641666,6037297400,06037297400,1,less tha 25
2964.01,15.641666,6037296401,06037296401,1,less tha 25
2973,15.641666,6037297300,06037297300,1,less tha 25
2975,15.641666,6037297500,06037297500,1,less tha 25
6031.02,15.675,6037603102,06037603102,1,less tha 25
2912.20,15.675,6037291220,06037291220,1,less tha 25
5410.02,15.675,6037541002,06037541002,1,less tha 25
2949,15.8,6037294900,06037294900,1,less tha 25
2944.10,15.8,6037294410,06037294410,1,less tha 25
2933.02,15.8,6037293302,06037293302,1,less tha 25
2941.10,15.8,6037294110,06037294110,1,less tha 25
2933.06,15.8,6037293306,06037293306,1,less tha 25
2933.04,15.8,6037293304,06037293304,1,less tha 25
2944.21,15.8,6037294421,06037294421,1,less tha 25
2948.10,15.8,6037294810,06037294810,1,less tha 25
2951.03,15.8,6037295103,06037295103,1,less tha 25
2945.10,15.8,6037294510,06037294510,1,less tha 25
2933.07,15.8,6037293307,06037293307,1,less tha 25
2946.10,15.8,6037294610,06037294610,1,less tha 25
6700.02,15.8,6037670002,06037670002,1,less tha 25
5437.03,15.8,6037543703,06037543703,1,less tha 25
2948.30,15.8,6037294830,06037294830,1,less tha 25
2943.02,15.8,6037294302,06037294302,1,less tha 25
2942,15.8,6037294200,06037294200,1,less tha 25
2948.20,15.8,6037294820,06037294820,1,less tha 25
6701,15.8,6037670100,06037670100,1,less tha 25
2943.01,15.8,6037294301,06037294301,1,less tha 25
6700.01,15.8,6037670001,06037670001,1,less tha 25
2945.20,15.8,6037294520,06037294520,1,less tha 25
6033.02,15.95,6037603302,06037603302,1,less tha 25
2190.20,16.075001,6037219020,06037219020,1,less tha 25
2188,16.075001,6037218800,06037218800,1,less tha 25
2187.01,16.075001,6037218701,06037218701,1,less tha 25
2171,16.075001,6037217100,06037217100,1,less tha 25
2172,16.075001,6037217200,06037217200,1,less tha 25
2340,16.075001,6037234000,06037234000,1,less tha 25
2362.04,16.075001,6037236204,06037236204,1,less tha 25
