geoid,name,population,value,percentile,t_percentile,fips
06061020714,207.14,4007,125.6,.75580651,75.58065,06061020714
06071003700,37,3782,145.125,.93012959,93.012962,06071003700
06111003605,36.049999,9631,13.025,.16251764,16.251764,06111003605
06073004300,43,3943,6.5666666,.060887977,6.0887976,06073004300
06059001101,11.01,5031,104.73333,.60188633,60.188633,06059001101
06059001304,13.04,3982,89.25,.53592968,53.592968,06059001304
06081610100,6101,2544,40.575001,.33157963,33.157963,06081610100
06019000902,9.0200005,5191,142.50833,.89464903,89.464905,06019000902
06067009318,93.18,2480,116.20834,.65667909,65.667908,06067009318
06085508602,5086.02,5054,23.125,.24425767,24.425768,06085508602
06037554600,5546,4173,67.150002,.46663672,46.663673,06037554600
06001443104,4431.04,5620,18.683332,.21480817,21.480816,06001443104
06037221302,2213.02,4373,36.341667,.31913257,31.913258,06037221302
06067008911,89.110001,2648,120.76667,.70236111,70.236115,06067008911
06037123520,1235.2,2816,103.375,.59457207,59.457207,06037123520
06019007002,70.019997,4943,140.51666,.87790322,87.790321,06019007002
06029003114,31.139999,7835,146.96666,.94302577,94.302574,06029003114
06073001600,16,5821,25.174999,.26023355,26.023355,06073001600
06037212501,2125.01,1940,36.275002,.31342229,31.34223,06037212501
06079013000,130,2741,63.166668,.45489541,45.48954,06079013000
06085511707,5117.0698,2820,45.424999,.37450275,37.450275,06085511707
06065040404,404.04001,2972,142.60001,.89599639,89.59964,06065040404
06111004711,47.110001,3552,10.041667,.12536892,12.536892,06111004711
06073010111,101.11,3230,25.033333,.25651225,25.651226,06073010111
06077003306,33.060001,4993,117.66666,.67496473,67.496475,06077003306
06037482401,4824.0098,3670,122.40833,.71917105,71.917107,06037482401
06001443301,4433.0098,4355,18.008333,.21089439,21.089439,06001443301
06075023001,230.00999,5398,2.6083333,.015013474,1.5013474,06075023001
06075023003,230.03,4084,2.6083333,.015013474,1.5013474,06075023003
06075016300,163,4658,4.1833334,.027268061,2.7268062,06075016300
06045011102,111.02,4188,74.175003,.4781214,47.812141,06045011102
06111008004,80.040001,5292,109.26667,.62293082,62.293083,06111008004
06019005802,58.02,4800,143.53334,.90895677,90.895676,06019005802
06073016616,166.16,4441,86.708336,.52495831,52.495831,06073016616
06037212620,2126.2,4087,36.341667,.31913257,31.913258,06037212620
06037901004,9010.04,12463,140.47501,.87771076,87.771072,06037901004
06037124600,1246,2691,78.75,.49589375,49.589375,06037124600
06085508403,5084.0298,3131,22.450001,.24124214,24.124214,06085508403
06045011002,110.02,6135,26.216667,.26331323,26.331324,06045011002
06037226410,2264.1001,3665,36.275002,.31342229,31.34223,06037226410
06037119340,1193.4,4264,105.85833,.6079815,60.798149,06037119340
06037670403,6704.0298,2733,10.408334,.12915437,12.915437,06037670403
06037199110,1991.1,2705,80.474998,.50275886,50.275887,06037199110
06077003113,31.129999,6844,117.925,.67971253,67.971252,06077003113
06009000121,1.21,4483,126.45834,.76401901,76.401901,06009000121
06001407900,4079,2873,14.608334,.17945592,17.945593,06001407900
06037104105,1041.05,6054,103.38333,.5957911,59.579109,06037104105
06037191204,1912.04,2033,58.758335,.43564737,43.564735,06037191204
06067009329,93.290001,2327,117.16666,.66893363,66.893364,06067009329
06037408005,4080.05,5161,116.30833,.66104198,66.104195,06037408005
