"Qualifying Name","Name of Area","FIPS","Nation","State","County","County Subdivision","Census Tract","Block Group","Place","Congressional District (116th)","State Legislative District (Upper Chamber)","State Legislative District (Lower Chamber)","Metropolitan Statistical Area/Micropolitan Statistical Area","Combined Statistical Area","2020 Housing Units","2020 Occupied Units","2020 Vacant Units","2010 Housing Units","2010 Occupied Units","2010 Vacant Units","Housing Units Change","Occupied Units Change","Vacant Units Change","Housing Units Change Percent","Occupied Units Change Percent","Vacant Units Change Percent","Housing Units Change Percent Points","Occupied Units Change Percent Points","Vacant Units Change Percent Points","2020 Total Population","White 2020","African American or Black 2020","American Indian and Alaska Native 2020","Asian 2020","Native Hawaiian and Other Pacific Islander 2020","Other 2020","Two or More Races 2020","2010 Total Population","White 2010 ","African American or Black 2010 ","American Indian and Alaska Native 2010 ","Asian 2010 ","Native Hawaiian and Other Pacific Islander 2010 ","Other 2010 ","Two or More Races 2010 ","Population Change","White Change","African American or Black Change","American Indian and Alaska Native Change","Asian Change","Native Hawaiian and Other Pacific Islander Change","Other Change","Two or More Races Change","Population Change Percent","White Change Percent","African American or Black Change Percent","American Indian and Alaska Native Change Percent","Asian Change Percent","Native Hawaiian and Other Pacific Islander Change Percent","Other Change Percent","Two or More Races Change Percent","Total Population Change Percent Points","White Change Percent Points","African American or Black Change Percent Points","American Indian and Alaska Native Change Percent Points","Asian Change Percent Points","Native Hawaiian and Other Pacific Islander Change Percent Points","Other Change Percent Points","Two or More Races Change Percent Points"
Geo_QNAME,Geo_NAME,Geo_FIPS,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_CS,Geo_CT,Geo_BG,Geo_PLACE,Geo_CD,Geo_SLDUC,Geo_SLDLC,Geo_MSAMSA,Geo_CSA,SE_T015_000,SE_T015_001,SE_T015_002,SE_T016_000,SE_T016_001,SE_T016_002,SE_T017_000,SE_T017_001,SE_T017_002,SE_T018_000,SE_T018_001,SE_T018_002,SE_T019_000,SE_T019_001,SE_T019_002,SE_T005_000,SE_T005_002,SE_T005_003,SE_T005_004,SE_T005_005,SE_T005_006,SE_T005_007,SE_T005_008,SE_T006_000,SE_T006_002,SE_T006_003,SE_T006_004,SE_T006_005,SE_T006_006,SE_T006_007,SE_T006_008,SE_T025_000,SE_T025_002,SE_T025_003,SE_T025_004,SE_T025_005,SE_T025_006,SE_T025_007,SE_T025_008,SE_T026_000,SE_T026_002,SE_T026_003,SE_T026_004,SE_T026_005,SE_T026_006,SE_T026_007,SE_T026_008,SE_T027_000,SE_T027_002,SE_T027_003,SE_T027_004,SE_T027_005,SE_T027_006,SE_T027_007,SE_T027_008
"Census Tract 1171.01, Los Angeles County, California","Census Tract 1171.01","06037117101","00","06","037",,"117101",,,,,,,,1488,1465,23,1376,1321,55,112,144,-32,8.13953488372093,10.9008327024981,-58.1818181818182,-2.66453525910038E-15,2.45139409852463,-2.45139409852463,5195,910,289,56,1844,11,1468,617,4796,1442,278,14,1785,7,1077,193,399,-532,11,42,59,4,391,424,8.31943286071726,-36.8932038834951,3.9568345323741,300,3.30532212885154,57.1428571428571,36.3045496750232,219.689119170984,2.66453525910038E-15,-12.5498791501741,-0.233455694952724,0.786049651578433,-1.72284651710882,0.0657870972040383,5.80172681597835,7.8526177974748
"Census Tract 1171.02, Los Angeles County, California","Census Tract 1171.02","06037117102","00","06","037",,"117102",,,,,,,,836,817,19,828,779,49,8,38,-30,0.966183574879227,4.8780487804878,-61.2244897959184,6.21724893790088E-15,3.645147123408,-3.64514712340799,2733,750,89,30,418,0,948,498,2631,1458,125,20,356,8,555,109,102,-708,-36,10,62,-8,393,389,3.87685290763968,-48.559670781893,-28.8,50,17.4157303370787,-100,70.8108108108108,356.880733944954,8.88178419700125E-15,-27.9738205412875,-1.49455053547565,0.337527604042154,1.76357130072458,-0.304066894716838,13.5925161493816,14.0788229173316
"Census Tract 1172.01, Los Angeles County, California","Census Tract 1172.01","06037117201","00","06","037",,"117201",,,,,,,,1253,1228,25,1233,1170,63,20,58,-38,1.6220600162206,4.95726495726496,-60.3174603174603,9.32587340685131E-15,3.1142775586767,-3.11427755867669,4514,985,267,96,635,24,1972,535,4352,1799,238,24,545,20,1533,193,162,-814,29,72,90,4,439,342,3.72242647058824,-45.2473596442468,12.1848739495798,300,16.5137614678899,20,28.6366601435095,177.20207253886,0,-19.5163148472725,0.44618132476739,1.57524629257995,1.54436809338268,0.0721203966743986,8.46112543655034,7.41727330331778
"Census Tract 1172.02, Los Angeles County, California","Census Tract 1172.02","06037117202","00","06","037",,"117202",,,,,,,,903,882,21,740,714,26,163,168,-5,22.027027027027,23.5294117647059,-19.2307692307692,-6.88338275267597E-15,1.18793211816467,-1.18793211816468,2711,884,185,48,675,9,467,443,2471,1226,118,3,625,2,378,119,240,-342,67,45,50,7,89,324,9.71266693646297,-27.8955954323002,56.7796610169492,1500,8,350,23.5449735449735,272.268907563025,0,-17.0076465009604,2.04865558889612,1.64915603068632,-0.394842063920822,0.251041927748829,1.92866539948985,11.5249696180601
"Census Tract 1173.01, Los Angeles County, California","Census Tract 1173.01","06037117301","00","06","037",,"117301",,,,,,,,1233,1217,16,1236,1207,29,-3,10,-13,-0.242718446601942,0.828500414250207,-44.8275862068966,6.66133814775094E-16,1.04863030417562,-1.04863030417562,3917,1747,163,58,615,8,701,625,3851,2469,215,19,566,4,420,158,66,-722,-52,39,49,4,281,467,1.71384056089327,-29.2426083434589,-24.1860465116279,205.263157894737,8.65724381625442,100,66.9047619047619,295.569620253165,-3.5527136788005E-15,-19.5127578107852,-1.42161749313047,0.987346701389591,1.00331024828553,0.100368812294212,6.99009113209722,11.8532584098491
"Census Tract 1173.02, Los Angeles County, California","Census Tract 1173.02","06037117302","00","06","037",,"117302",,,,,,,,1811,1771,40,1744,1679,65,67,92,-25,3.84174311926605,5.47945205479452,-38.4615384615385,-1.33226762955019E-15,1.51833975856007,-1.51833975856007,5414,2469,264,41,903,7,1005,725,4914,3180,236,21,752,6,478,241,500,-711,28,20,151,1,527,484,10.1750101750102,-22.3584905660377,11.864406779661,95.2380952380952,20.0797872340426,16.6666666666667,110.251046025105,200.829875518672,-8.88178419700125E-15,-19.1090750566185,0.0736419650346508,0.329945472169336,1.3757651179151,0.00719429976910582,8.83567512677228,8.48685307495799
"Census Tract 1173.03, Los Angeles County, California","Census Tract 1173.03","06037117303","00","06","037",,"117303",,,,,,,,1051,1027,24,1038,1019,19,13,8,5,1.252408477842,0.785083415112856,26.3157894736842,-1.72084568816899E-15,-0.453096326280689,0.453096326280687,3647,1442,127,42,550,0,847,639,3512,2079,113,35,561,11,597,116,135,-637,14,7,-11,-11,250,523,3.84396355353075,-30.6397306397306,12.3893805309735,20,-1.96078431372549,-100,41.8760469011725,450.862068965517,5.32907051820075E-15,-19.6576913155444,0.264774367548951,0.155048334419091,-0.89291569880196,-0.313211845102506,6.22570709035979,14.218289067121
"Census Tract 1174.04, Los Angeles County, California","Census Tract 1174.04","06037117404","00","06","037",,"117404",,,,,,,,1421,1390,31,1335,1288,47,86,102,-16,6.44194756554307,7.91925465838509,-34.0425531914894,-4.44089209850063E-16,1.33903697085188,-1.33903697085188,4548,1661,199,39,970,19,1030,630,4279,2308,224,21,711,22,792,201,269,-647,-25,18,259,-3,238,429,6.28651554101426,-28.0329289428076,-11.1607142857143,85.7142857142857,36.4275668073136,-13.6363636363636,30.050505050505,213.432835820896,1.77635683940025E-15,-17.4162880098199,-0.859318267631309,0.36675091768661,4.71202450535155,-0.0963727664692862,4.13832007289286,9.15488354798948
"Census Tract 1174.05, Los Angeles County, California","Census Tract 1174.05","06037117405","00","06","037",,"117405",,,,,,,,890,848,42,854,781,73,36,67,-31,4.21545667447307,8.57874519846351,-42.4657534246575,8.88178419700125E-16,3.82890824408599,-3.82890824408599,3364,485,167,71,80,3,2155,403,3442,1414,138,43,57,0,1630,160,-78,-929,29,28,23,3,525,243,-2.26612434631028,-65.7001414427157,21.0144927536232,65.1162790697674,40.3508771929825,,32.2085889570552,151.875,2.66453525910038E-15,-26.663406710558,0.955031260342099,0.861308961620494,0.722107338804901,0.089179548156956,16.7044538301087,7.33132577152487
"Census Tract 1174.07, Los Angeles County, California","Census Tract 1174.07","06037117407","00","06","037",,"117407",,,,,,,,932,917,15,896,841,55,36,76,-40,4.01785714285714,9.03686087990488,-72.7272727272727,-1.77635683940025E-15,4.52895079705702,-4.52895079705702,3482,361,92,128,99,0,2382,420,3636,1415,99,5,89,8,1819,201,-154,-1054,-7,123,10,-8,563,219,-4.23542354235424,-74.4876325088339,-7.07070707070707,2460,11.2359550561798,-100,30.9510720175921,108.955223880597,-1.33226762955019E-14,-28.5487868143506,-0.0806125988819444,3.53853449675812,0.395448792438118,-0.22002200220022,18.3814576173298,6.53398050890672
