geoid,population,heat_days,heat_perc,FIPS,FIPS_2,nation,state,county,countysubdivision,censustract,place,congressionaldistrict116th,statelegislativedistrictuppercha,statelegislativedistrictlowercha,metropolitanstatisticalareamicro,combinedstatisticalarea,tot_housing,housing_occupied,housing_vacant,tot_pop,tot_white,tot_bla,tot_native,tot_asian,tot_haw,tot_other,tot_twomore,_merge2
06037113235,1824,103.15833,58.995255,06037113235,6037113235,0,6,37,,113235,,,,,,,746,699,47,1815,1149,71,16,106,4,217,252,Matched (3)
06037113237,4194,127.65,78.236877,06037113237,6037113237,0,6,37,,113237,,,,,,,1576,1513,63,3921,1927,287,44,654,14,445,550,Matched (3)
06037113301,3509,128.99167,79.314766,06037113301,6037113301,0,6,37,,113301,,,,,,,1827,1430,397,3655,1858,311,11,702,8,339,426,Matched (3)
06037113303,4191,128.46666,78.878479,06037113303,6037113303,0,6,37,,113303,,,,,,,1454,1391,63,4160,1807,125,58,669,4,831,666,Matched (3)
06037113322,4572,129,79.327599,06037113322,6037113322,0,6,37,,113322,,,,,,,1430,1401,29,4251,2081,198,31,912,22,407,600,Matched (3)
06037115101,5083,124.05,73.80983,06037115101,6037115101,0,6,37,,115101,,,,,,,1748,1718,30,5112,3094,164,33,760,14,385,662,Matched (3)
06037115104,4377,124.05,73.80983,06037115104,6037115104,0,6,37,,115104,,,,,,,2037,1831,206,4409,1739,334,41,963,6,781,545,Matched (3)
06037115202,5684,123.44167,73.097649,06037115202,6037115202,0,6,37,,115202,,,,,,,1992,1907,85,5189,1890,343,57,949,2,1195,753,Matched (3)
06037115301,4524,124.05,73.80983,06037115301,6037115301,0,6,37,,115301,,,,,,,1688,1631,57,4236,1952,238,35,901,14,503,593,Matched (3)
06037115302,3957,123.44167,73.097649,06037115302,6037115302,0,6,37,,115302,,,,,,,1030,1005,25,4044,687,119,105,425,8,2142,558,Matched (3)
06037115401,6373,123.44167,73.097649,06037115401,6037115401,0,6,37,,115401,,,,,,,2105,2037,68,5980,2063,304,71,781,5,1893,863,Matched (3)
